Name,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
Staryu,30,45,55,70,55,85,FALSE
Starmie,60,75,85,100,85,115,FALSE
Mr. Mime,40,45,65,100,120,90,FALSE
Scyther,70,110,80,55,80,105,FALSE
Jynx,65,50,35,115,95,95,FALSE
Electabuzz,65,83,57,95,85,105,FALSE
Magmar,65,95,57,100,85,93,FALSE
Pinsir,65,125,100,55,70,85,FALSE
PinsirMega Pinsir,65,155,120,65,90,105,FALSE
Tauros,75,100,95,40,70,110,FALSE
Magikarp,20,10,55,15,20,80,FALSE
Gyarados,95,125,79,60,100,81,FALSE
GyaradosMega Gyarados,95,155,109,70,130,81,FALSE
Lapras,130,85,80,85,95,60,FALSE
Ditto,48,48,48,48,48,48,FALSE
Eevee,55,55,50,45,65,55,FALSE
Vaporeon,130,65,60,110,95,65,FALSE
Jolteon,65,65,60,110,95,130,FALSE
Flareon,65,130,60,95,110,65,FALSE
Porygon,65,60,70,85,75,40,FALSE
Omanyte,35,40,100,90,55,35,FALSE
Omastar,70,60,125,115,70,55,FALSE
Kabuto,30,80,90,55,45,55,FALSE
Kabutops,60,115,105,65,70,80,FALSE
Aerodactyl,80,105,65,60,75,130,FALSE
AerodactylMega Aerodactyl,80,135,85,70,95,150,FALSE
Snorlax,160,110,65,65,110,30,FALSE
Articuno,90,85,100,95,125,85,TRUE
Zapdos,90,90,85,125,90,100,TRUE
Moltres,90,100,90,125,85,90,TRUE
Dratini,41,64,45,50,50,50,FALSE
Dragonair,61,84,65,70,70,70,FALSE
Dragonite,91,134,95,100,100,80,FALSE
Mewtwo,106,110,90,154,90,130,TRUE
MewtwoMega Mewtwo X,106,190,100,154,100,130,TRUE
MewtwoMega Mewtwo Y,106,150,70,194,120,140,TRUE
Mew,100,100,100,100,100,100,FALSE
Chikorita,45,49,65,49,65,45,FALSE
Bayleef,60,62,80,63,80,60,FALSE
Meganium,80,82,100,83,100,80,FALSE
Cyndaquil,39,52,43,60,50,65,FALSE
Quilava,58,64,58,80,65,80,FALSE
Typhlosion,78,84,78,109,85,100,FALSE
Totodile,50,65,64,44,48,43,FALSE
Croconaw,65,80,80,59,63,58,FALSE
Feraligatr,85,105,100,79,83,78,FALSE
Sentret,35,46,34,35,45,20,FALSE
Furret,85,76,64,45,55,90,FALSE
Hoothoot,60,30,30,36,56,50,FALSE
Noctowl,100,50,50,76,96,70,FALSE
Ledyba,40,20,30,40,80,55,FALSE
Ledian,55,35,50,55,110,85,FALSE
Spinarak,40,60,40,40,40,30,FALSE
Ariados,70,90,70,60,60,40,FALSE
Crobat,85,90,80,70,80,130,FALSE
Chinchou,75,38,38,56,56,67,FALSE
Lanturn,125,58,58,76,76,67,FALSE
Pichu,20,40,15,35,35,60,FALSE
Cleffa,50,25,28,45,55,15,FALSE
Igglybuff,90,30,15,40,20,15,FALSE
Togepi,35,20,65,40,65,20,FALSE
Togetic,55,40,85,80,105,40,FALSE
Natu,40,50,45,70,45,70,FALSE
Xatu,65,75,70,95,70,95,FALSE
Mareep,55,40,40,65,45,35,FALSE
Flaaffy,70,55,55,80,60,45,FALSE
Ampharos,90,75,85,115,90,55,FALSE
AmpharosMega Ampharos,90,95,105,165,110,45,FALSE
Bellossom,75,80,95,90,100,50,FALSE
Marill,70,20,50,20,50,40,FALSE
Azumarill,100,50,80,60,80,50,FALSE
Sudowoodo,70,100,115,30,65,30,FALSE
Politoed,90,75,75,90,100,70,FALSE
Hoppip,35,35,40,35,55,50,FALSE
Skiploom,55,45,50,45,65,80,FALSE
Jumpluff,75,55,70,55,95,110,FALSE
Aipom,55,70,55,40,55,85,FALSE
Sunkern,30,30,30,30,30,30,FALSE
Sunflora,75,75,55,105,85,30,FALSE
Yanma,65,65,45,75,45,95,FALSE
Wooper,55,45,45,25,25,15,FALSE
Quagsire,95,85,85,65,65,35,FALSE
Espeon,65,65,60,130,95,110,FALSE
Umbreon,95,65,110,60,130,65,FALSE
Murkrow,60,85,42,85,42,91,FALSE
Slowking,95,75,80,100,110,30,FALSE
Misdreavus,60,60,60,85,85,85,FALSE
Unown,48,72,48,72,48,48,FALSE
Wobbuffet,190,33,58,33,58,33,FALSE
Girafarig,70,80,65,90,65,85,FALSE
Pineco,50,65,90,35,35,15,FALSE
Forretress,75,90,140,60,60,40,FALSE
Dunsparce,100,70,70,65,65,45,FALSE
Gligar,65,75,105,35,65,85,FALSE
Steelix,75,85,200,55,65,30,FALSE
SteelixMega Steelix,75,125,230,55,95,30,FALSE
Snubbull,60,80,50,40,40,30,FALSE
Granbull,90,120,75,60,60,45,FALSE
Qwilfish,65,95,75,55,55,85,FALSE
Scizor,70,130,100,55,80,65,FALSE
ScizorMega Scizor,70,150,140,65,100,75,FALSE
Shuckle,20,10,230,10,230,5,FALSE
Heracross,80,125,75,40,95,85,FALSE
HeracrossMega Heracross,80,185,115,40,105,75,FALSE
Sneasel,55,95,55,35,75,115,FALSE
Teddiursa,60,80,50,50,50,40,FALSE
Ursaring,90,130,75,75,75,55,FALSE
Slugma,40,40,40,70,40,20,FALSE
Magcargo,50,50,120,80,80,30,FALSE
Swinub,50,50,40,30,30,50,FALSE
Piloswine,100,100,80,60,60,50,FALSE
Corsola,55,55,85,65,85,35,FALSE
Remoraid,35,65,35,65,35,65,FALSE
Octillery,75,105,75,105,75,45,FALSE
Delibird,45,55,45,65,45,75,FALSE
Mantine,65,40,70,80,140,70,FALSE
Skarmory,65,80,140,40,70,70,FALSE
Houndour,45,60,30,80,50,65,FALSE
Houndoom,75,90,50,110,80,95,FALSE
HoundoomMega Houndoom,75,90,90,140,90,115,FALSE
Kingdra,75,95,95,95,95,85,FALSE
Phanpy,90,60,60,40,40,40,FALSE
Donphan,90,120,120,60,60,50,FALSE
Porygon2,85,80,90,105,95,60,FALSE
Stantler,73,95,62,85,65,85,FALSE
Smeargle,55,20,35,20,45,75,FALSE
Tyrogue,35,35,35,35,35,35,FALSE
Hitmontop,50,95,95,35,110,70,FALSE
Smoochum,45,30,15,85,65,65,FALSE
Elekid,45,63,37,65,55,95,FALSE
Magby,45,75,37,70,55,83,FALSE
Miltank,95,80,105,40,70,100,FALSE
Blissey,255,10,10,75,135,55,FALSE
Raikou,90,85,75,115,100,115,TRUE
Entei,115,115,85,90,75,100,TRUE
Suicune,100,75,115,90,115,85,TRUE
Larvitar,50,64,50,45,50,41,FALSE
Pupitar,70,84,70,65,70,51,FALSE
Tyranitar,100,134,110,95,100,61,FALSE
TyranitarMega Tyranitar,100,164,150,95,120,71,FALSE
Lugia,106,90,130,90,154,110,TRUE
Ho-oh,106,130,90,110,154,90,TRUE
Celebi,100,100,100,100,100,100,FALSE
Treecko,40,45,35,65,55,70,FALSE
Grovyle,50,65,45,85,65,95,FALSE
Sceptile,70,85,65,105,85,120,FALSE
SceptileMega Sceptile,70,110,75,145,85,145,FALSE
Torchic,45,60,40,70,50,45,FALSE
Combusken,60,85,60,85,60,55,FALSE
Blaziken,80,120,70,110,70,80,FALSE
BlazikenMega Blaziken,80,160,80,130,80,100,FALSE
Mudkip,50,70,50,50,50,40,FALSE
Marshtomp,70,85,70,60,70,50,FALSE
Swampert,100,110,90,85,90,60,FALSE
SwampertMega Swampert,100,150,110,95,110,70,FALSE
Poochyena,35,55,35,30,30,35,FALSE
Mightyena,70,90,70,60,60,70,FALSE
Zigzagoon,38,30,41,30,41,60,FALSE
Linoone,78,70,61,50,61,100,FALSE
Wurmple,45,45,35,20,30,20,FALSE
Silcoon,50,35,55,25,25,15,FALSE
Beautifly,60,70,50,100,50,65,FALSE
Cascoon,50,35,55,25,25,15,FALSE
Dustox,60,50,70,50,90,65,FALSE
Lotad,40,30,30,40,50,30,FALSE
Lombre,60,50,50,60,70,50,FALSE
Ludicolo,80,70,70,90,100,70,FALSE
Seedot,40,40,50,30,30,30,FALSE
Nuzleaf,70,70,40,60,40,60,FALSE
Shiftry,90,100,60,90,60,80,FALSE
Taillow,40,55,30,30,30,85,FALSE
Swellow,60,85,60,50,50,125,FALSE
Wingull,40,30,30,55,30,85,FALSE
Pelipper,60,50,100,85,70,65,FALSE
Ralts,28,25,25,45,35,40,FALSE
Kirlia,38,35,35,65,55,50,FALSE
Gardevoir,68,65,65,125,115,80,FALSE
GardevoirMega Gardevoir,68,85,65,165,135,100,FALSE
Surskit,40,30,32,50,52,65,FALSE
Masquerain,70,60,62,80,82,60,FALSE
Shroomish,60,40,60,40,60,35,FALSE
Breloom,60,130,80,60,60,70,FALSE
Slakoth,60,60,60,35,35,30,FALSE
Vigoroth,80,80,80,55,55,90,FALSE
Slaking,150,160,100,95,65,100,FALSE
Nincada,31,45,90,30,30,40,FALSE
Ninjask,61,90,45,50,50,160,FALSE
Shedinja,1,90,45,30,30,40,FALSE
Whismur,64,51,23,51,23,28,FALSE
Loudred,84,71,43,71,43,48,FALSE
Exploud,104,91,63,91,73,68,FALSE
Makuhita,72,60,30,20,30,25,FALSE
Hariyama,144,120,60,40,60,50,FALSE
Azurill,50,20,40,20,40,20,FALSE
Nosepass,30,45,135,45,90,30,FALSE
Skitty,50,45,45,35,35,50,FALSE
Delcatty,70,65,65,55,55,70,FALSE
Sableye,50,75,75,65,65,50,FALSE
SableyeMega Sableye,50,85,125,85,115,20,FALSE
Mawile,50,85,85,55,55,50,FALSE
MawileMega Mawile,50,105,125,55,95,50,FALSE
Aron,50,70,100,40,40,30,FALSE
Lairon,60,90,140,50,50,40,FALSE
Aggron,70,110,180,60,60,50,FALSE
AggronMega Aggron,70,140,230,60,80,50,FALSE
Meditite,30,40,55,40,55,60,FALSE
Medicham,60,60,75,60,75,80,FALSE
MedichamMega Medicham,60,100,85,80,85,100,FALSE
Electrike,40,45,40,65,40,65,FALSE
Manectric,70,75,60,105,60,105,FALSE
ManectricMega Manectric,70,75,80,135,80,135,FALSE
Plusle,60,50,40,85,75,95,FALSE
Minun,60,40,50,75,85,95,FALSE
Volbeat,65,73,55,47,75,85,FALSE
Illumise,65,47,55,73,75,85,FALSE
Roselia,50,60,45,100,80,65,FALSE
Gulpin,70,43,53,43,53,40,FALSE
Swalot,100,73,83,73,83,55,FALSE
Carvanha,45,90,20,65,20,65,FALSE
Sharpedo,70,120,40,95,40,95,FALSE
SharpedoMega Sharpedo,70,140,70,110,65,105,FALSE
Wailmer,130,70,35,70,35,60,FALSE
Wailord,170,90,45,90,45,60,FALSE
Numel,60,60,40,65,45,35,FALSE
Camerupt,70,100,70,105,75,40,FALSE
CameruptMega Camerupt,70,120,100,145,105,20,FALSE
Torkoal,70,85,140,85,70,20,FALSE
Spoink,60,25,35,70,80,60,FALSE
Grumpig,80,45,65,90,110,80,FALSE
Spinda,60,60,60,60,60,60,FALSE
Trapinch,45,100,45,45,45,10,FALSE
Vibrava,50,70,50,50,50,70,FALSE
Flygon,80,100,80,80,80,100,FALSE
Cacnea,50,85,40,85,40,35,FALSE
Cacturne,70,115,60,115,60,55,FALSE
Swablu,45,40,60,40,75,50,FALSE
Altaria,75,70,90,70,105,80,FALSE
AltariaMega Altaria,75,110,110,110,105,80,FALSE
Zangoose,73,115,60,60,60,90,FALSE
Seviper,73,100,60,100,60,65,FALSE
Lunatone,70,55,65,95,85,70,FALSE
Solrock,70,95,85,55,65,70,FALSE
Barboach,50,48,43,46,41,60,FALSE
Whiscash,110,78,73,76,71,60,FALSE
Corphish,43,80,65,50,35,35,FALSE
Crawdaunt,63,120,85,90,55,55,FALSE
Baltoy,40,40,55,40,70,55,FALSE
Claydol,60,70,105,70,120,75,FALSE
Lileep,66,41,77,61,87,23,FALSE
Cradily,86,81,97,81,107,43,FALSE
Anorith,45,95,50,40,50,75,FALSE
Armaldo,75,125,100,70,80,45,FALSE
Feebas,20,15,20,10,55,80,FALSE
Milotic,95,60,79,100,125,81,FALSE
Castform,70,70,70,70,70,70,FALSE
Kecleon,60,90,70,60,120,40,FALSE
Shuppet,44,75,35,63,33,45,FALSE
Banette,64,115,65,83,63,65,FALSE
BanetteMega Banette,64,165,75,93,83,75,FALSE
Duskull,20,40,90,30,90,25,FALSE
Dusclops,40,70,130,60,130,25,FALSE
Tropius,99,68,83,72,87,51,FALSE
Chimecho,65,50,70,95,80,65,FALSE
Absol,65,130,60,75,60,75,FALSE
AbsolMega Absol,65,150,60,115,60,115,FALSE
Wynaut,95,23,48,23,48,23,FALSE
Snorunt,50,50,50,50,50,50,FALSE
Glalie,80,80,80,80,80,80,FALSE
GlalieMega Glalie,80,120,80,120,80,100,FALSE
Spheal,70,40,50,55,50,25,FALSE
Sealeo,90,60,70,75,70,45,FALSE
Walrein,110,80,90,95,90,65,FALSE
Clamperl,35,64,85,74,55,32,FALSE
Huntail,55,104,105,94,75,52,FALSE
Gorebyss,55,84,105,114,75,52,FALSE
Relicanth,100,90,130,45,65,55,FALSE
Luvdisc,43,30,55,40,65,97,FALSE
Bagon,45,75,60,40,30,50,FALSE
Shelgon,65,95,100,60,50,50,FALSE
Salamence,95,135,80,110,80,100,FALSE
SalamenceMega Salamence,95,145,130,120,90,120,FALSE
Beldum,40,55,80,35,60,30,FALSE
Metang,60,75,100,55,80,50,FALSE
Metagross,80,135,130,95,90,70,FALSE
MetagrossMega Metagross,80,145,150,105,110,110,FALSE
Regirock,80,100,200,50,100,50,TRUE
Regice,80,50,100,100,200,50,TRUE
Registeel,80,75,150,75,150,50,TRUE
Latias,80,80,90,110,130,110,TRUE
LatiasMega Latias,80,100,120,140,150,110,TRUE
Latios,80,90,80,130,110,110,TRUE
LatiosMega Latios,80,130,100,160,120,110,TRUE
Kyogre,100,100,90,150,140,90,TRUE
KyogrePrimal Kyogre,100,150,90,180,160,90,TRUE
Groudon,100,150,140,100,90,90,TRUE
GroudonPrimal Groudon,100,180,160,150,90,90,TRUE
Rayquaza,105,150,90,150,90,95,TRUE
RayquazaMega Rayquaza,105,180,100,180,100,115,TRUE
Jirachi,100,100,100,100,100,100,TRUE
DeoxysNormal Forme,50,150,50,150,50,150,TRUE
DeoxysAttack Forme,50,180,20,180,20,150,TRUE
DeoxysDefense Forme,50,70,160,70,160,90,TRUE
DeoxysSpeed Forme,50,95,90,95,90,180,TRUE
Turtwig,55,68,64,45,55,31,FALSE
Grotle,75,89,85,55,65,36,FALSE
Torterra,95,109,105,75,85,56,FALSE
Chimchar,44,58,44,58,44,61,FALSE
Monferno,64,78,52,78,52,81,FALSE
Infernape,76,104,71,104,71,108,FALSE
Piplup,53,51,53,61,56,40,FALSE
Prinplup,64,66,68,81,76,50,FALSE
Empoleon,84,86,88,111,101,60,FALSE
Starly,40,55,30,30,30,60,FALSE
Staravia,55,75,50,40,40,80,FALSE
Staraptor,85,120,70,50,60,100,FALSE
Bidoof,59,45,40,35,40,31,FALSE
Bibarel,79,85,60,55,60,71,FALSE
Kricketot,37,25,41,25,41,25,FALSE
Kricketune,77,85,51,55,51,65,FALSE
Shinx,45,65,34,40,34,45,FALSE
Luxio,60,85,49,60,49,60,FALSE
Luxray,80,120,79,95,79,70,FALSE
Budew,40,30,35,50,70,55,FALSE
Roserade,60,70,65,125,105,90,FALSE
Cranidos,67,125,40,30,30,58,FALSE
Rampardos,97,165,60,65,50,58,FALSE
Shieldon,30,42,118,42,88,30,FALSE
Bastiodon,60,52,168,47,138,30,FALSE
Burmy,40,29,45,29,45,36,FALSE
WormadamPlant Cloak,60,59,85,79,105,36,FALSE
WormadamSandy Cloak,60,79,105,59,85,36,FALSE
WormadamTrash Cloak,60,69,95,69,95,36,FALSE
Mothim,70,94,50,94,50,66,FALSE
Combee,30,30,42,30,42,70,FALSE
Vespiquen,70,80,102,80,102,40,FALSE
Pachirisu,60,45,70,45,90,95,FALSE
Buizel,55,65,35,60,30,85,FALSE
Floatzel,85,105,55,85,50,115,FALSE
Cherubi,45,35,45,62,53,35,FALSE
Cherrim,70,60,70,87,78,85,FALSE
Shellos,76,48,48,57,62,34,FALSE
Gastrodon,111,83,68,92,82,39,FALSE
Ambipom,75,100,66,60,66,115,FALSE
Drifloon,90,50,34,60,44,70,FALSE
Drifblim,150,80,44,90,54,80,FALSE
Buneary,55,66,44,44,56,85,FALSE
Lopunny,65,76,84,54,96,105,FALSE
LopunnyMega Lopunny,65,136,94,54,96,135,FALSE
Mismagius,60,60,60,105,105,105,FALSE
Honchkrow,100,125,52,105,52,71,FALSE
Glameow,49,55,42,42,37,85,FALSE
Purugly,71,82,64,64,59,112,FALSE
Chingling,45,30,50,65,50,45,FALSE
Stunky,63,63,47,41,41,74,FALSE
Skuntank,103,93,67,71,61,84,FALSE
Bronzor,57,24,86,24,86,23,FALSE
Bronzong,67,89,116,79,116,33,FALSE
Bonsly,50,80,95,10,45,10,FALSE
Mime Jr.,20,25,45,70,90,60,FALSE
Happiny,100,5,5,15,65,30,FALSE
Chatot,76,65,45,92,42,91,FALSE
Spiritomb,50,92,108,92,108,35,FALSE
Gible,58,70,45,40,45,42,FALSE
Gabite,68,90,65,50,55,82,FALSE
Garchomp,108,130,95,80,85,102,FALSE
GarchompMega Garchomp,108,170,115,120,95,92,FALSE
Munchlax,135,85,40,40,85,5,FALSE
Riolu,40,70,40,35,40,60,FALSE
Lucario,70,110,70,115,70,90,FALSE
LucarioMega Lucario,70,145,88,140,70,112,FALSE
Hippopotas,68,72,78,38,42,32,FALSE
Hippowdon,108,112,118,68,72,47,FALSE
Skorupi,40,50,90,30,55,65,FALSE
Drapion,70,90,110,60,75,95,FALSE
Croagunk,48,61,40,61,40,50,FALSE
Toxicroak,83,106,65,86,65,85,FALSE
Carnivine,74,100,72,90,72,46,FALSE
Finneon,49,49,56,49,61,66,FALSE
Lumineon,69,69,76,69,86,91,FALSE
Mantyke,45,20,50,60,120,50,FALSE
Snover,60,62,50,62,60,40,FALSE
Abomasnow,90,92,75,92,85,60,FALSE
AbomasnowMega Abomasnow,90,132,105,132,105,30,FALSE
Weavile,70,120,65,45,85,125,FALSE
Magnezone,70,70,115,130,90,60,FALSE
Lickilicky,110,85,95,80,95,50,FALSE
Rhyperior,115,140,130,55,55,40,FALSE
Tangrowth,100,100,125,110,50,50,FALSE
Electivire,75,123,67,95,85,95,FALSE
Magmortar,75,95,67,125,95,83,FALSE
Togekiss,85,50,95,120,115,80,FALSE
Yanmega,86,76,86,116,56,95,FALSE
Leafeon,65,110,130,60,65,95,FALSE
Glaceon,65,60,110,130,95,65,FALSE
Gliscor,75,95,125,45,75,95,FALSE
Mamoswine,110,130,80,70,60,80,FALSE
Porygon-Z,85,80,70,135,75,90,FALSE
Gallade,68,125,65,65,115,80,FALSE
GalladeMega Gallade,68,165,95,65,115,110,FALSE
Probopass,60,55,145,75,150,40,FALSE
Dusknoir,45,100,135,65,135,45,FALSE
Froslass,70,80,70,80,70,110,FALSE
Rotom,50,50,77,95,77,91,FALSE
RotomHeat Rotom,50,65,107,105,107,86,FALSE
RotomWash Rotom,50,65,107,105,107,86,FALSE
RotomFrost Rotom,50,65,107,105,107,86,FALSE
RotomFan Rotom,50,65,107,105,107,86,FALSE
RotomMow Rotom,50,65,107,105,107,86,FALSE
Uxie,75,75,130,75,130,95,TRUE
Mesprit,80,105,105,105,105,80,TRUE
Azelf,75,125,70,125,70,115,TRUE
Dialga,100,120,120,150,100,90,TRUE
Palkia,90,120,100,150,120,100,TRUE
Heatran,91,90,106,130,106,77,TRUE
Regigigas,110,160,110,80,110,100,TRUE
GiratinaAltered Forme,150,100,120,100,120,90,TRUE
GiratinaOrigin Forme,150,120,100,120,100,90,TRUE
Cresselia,120,70,120,75,130,85,FALSE
Phione,80,80,80,80,80,80,FALSE
Manaphy,100,100,100,100,100,100,FALSE
Darkrai,70,90,90,135,90,125,TRUE
ShayminLand Forme,100,100,100,100,100,100,TRUE
ShayminSky Forme,100,103,75,120,75,127,TRUE
Arceus,120,120,120,120,120,120,TRUE
Victini,100,100,100,100,100,100,TRUE
Snivy,45,45,55,45,55,63,FALSE
Servine,60,60,75,60,75,83,FALSE
Serperior,75,75,95,75,95,113,FALSE
Tepig,65,63,45,45,45,45,FALSE
Pignite,90,93,55,70,55,55,FALSE
Emboar,110,123,65,100,65,65,FALSE
Oshawott,55,55,45,63,45,45,FALSE
Dewott,75,75,60,83,60,60,FALSE
Samurott,95,100,85,108,70,70,FALSE
Patrat,45,55,39,35,39,42,FALSE
Watchog,60,85,69,60,69,77,FALSE
Lillipup,45,60,45,25,45,55,FALSE
Herdier,65,80,65,35,65,60,FALSE
Stoutland,85,110,90,45,90,80,FALSE
Purrloin,41,50,37,50,37,66,FALSE
Liepard,64,88,50,88,50,106,FALSE
Pansage,50,53,48,53,48,64,FALSE
Simisage,75,98,63,98,63,101,FALSE
Pansear,50,53,48,53,48,64,FALSE
Simisear,75,98,63,98,63,101,FALSE
Panpour,50,53,48,53,48,64,FALSE
Simipour,75,98,63,98,63,101,FALSE
Munna,76,25,45,67,55,24,FALSE
Musharna,116,55,85,107,95,29,FALSE
Pidove,50,55,50,36,30,43,FALSE
Tranquill,62,77,62,50,42,65,FALSE
Unfezant,80,115,80,65,55,93,FALSE
Blitzle,45,60,32,50,32,76,FALSE
Zebstrika,75,100,63,80,63,116,FALSE
Roggenrola,55,75,85,25,25,15,FALSE
Boldore,70,105,105,50,40,20,FALSE
Gigalith,85,135,130,60,80,25,FALSE
Woobat,55,45,43,55,43,72,FALSE
Swoobat,67,57,55,77,55,114,FALSE
Drilbur,60,85,40,30,45,68,FALSE
Excadrill,110,135,60,50,65,88,FALSE
Audino,103,60,86,60,86,50,FALSE
AudinoMega Audino,103,60,126,80,126,50,FALSE
Timburr,75,80,55,25,35,35,FALSE
Gurdurr,85,105,85,40,50,40,FALSE
Conkeldurr,105,140,95,55,65,45,FALSE
Tympole,50,50,40,50,40,64,FALSE
